id V delta X.3 W1.1 W1.2 W2.1 W2.2
88 0.0827 0 1  4.0714 3.8553  0.8247  1.2133
89 0.0031 0 0  0.9229 1.7752 -1.6014 -0.1023
90 0.3837 0 1  2.1822 2.3163  1.4204  1.7132
91 0.1018 0 0  NA     1.9296  0.6592  0.9291
92 0.0115 0 1  3.3397 3.3614  0.4553 -0.3200
93 0.7541 0 0  1.7714 3.2927  2.2373  3.3889
94 0.4519 1 1  2.0925 1.7070 -0.1481 -0.6116
95 0.8305 0 0  2.0961 1.3202  1.2954  1.6337
96 0.4624 0 1  2.9373 2.9923  0.6095  0.4994
97 0.1363 0 0  1.7154 3.5021  1.1281  0.9344
98 0.3281 0 0  1.6799 1.9311  1.2929  1.8395
99 0.8351 0 1  4.2726 3.9764  2.6395  2.3396
100 0.6104 0 1  2.0289 2.5893  1.1285  0.6936
101 0.2382 0 0  5.7121 5.9974 -0.5763 -0.5173
102 0.4127 1 0  3.6289 3.7351  0.4359  0.2054
103 0.2692 0 1  1.1939 2.1065  0.4827  1.0236
104 0.1677 1 1  0.5406 1.2933 -0.1294  0.4706
105 0.7531 0 1  2.8198 2.4824  2.0766  2.0543
106 0.2349 0 1  1.6767 0.8931  1.9962  1.5869
107 0.0503 0 0  1.3805 2.3292 -1.2716 -0.1288
108 0.0951 1 0  1.5442 0.9151  1.1957  0.9663
109 0.3401 1 0  1.2691 0.9921  1.7442  1.4337
110 0.2850 0 0  4.1530 4.2704  1.9625  2.8477
111 0.4365 1 0  3.1267 1.7003  0.2983 -0.6049
112 0.2222 1 0  1.9919 1.5096  0.5984  0.6226
113 0.8852 1 0  3.5300 3.1910  1.2948 -0.0222
114 0.4541 0 1  1.9138 3.0743 -0.2758  0.2578
115 0.7215 0 0  1.6303 2.1021  1.2728  1.7926
116 0.1360 0 1  1.1791 1.3405  2.3520  1.7190
117 0.4024 0 0  1.6347 1.2653  2.4043  2.0540
118 0.2725 0 0  2.4605 3.2547  0.6054  1.0966
119 0.2988 0 1  2.9490 2.0188  1.0859  0.4874
120 0.4371 0 0  3.2324 3.4794  1.3618  1.5878
121 0.1804 0 1  1.7400 2.3721  1.2108  1.2712
122 0.1145 1 0  1.2584 1.2729  1.5236  0.6525
123 0.6340 0 0  6.2218 5.9243  1.6896  1.4051
124 0.2013 1 1  1.4320 1.0623  0.2294  0.5930
125 0.1550 0 0  1.1181 0.8189  0.8991  1.2750
126 0.7753 0 1  2.7156 2.9530  0.5779  0.4330
127 0.1198 1 1  1.0455 1.2382  1.6577  2.4614
128 0.7822 0 1  1.7416 1.4986  1.3090  1.2679
129 0.4065 0 0  3.7969 2.6359  1.9408  2.8829
130 0.1692 1 0  0.8068 1.1330 -0.5262  0.9170
131 0.8023 0 0  0.6061 1.2409  2.1323  2.3670
132 0.5601 0 1  3.2497 3.8365  0.7182  1.0413
133 0.2350 0 1  1.1931 1.7701 -0.4475  0.4808
134 0.1429 1 0  0.9301 2.2944 -0.7698 -0.9422
135 0.7472 0 1  2.9657 2.7427  2.4022  1.3218
136 0.3593 0 1  1.4027 1.6767  2.3822  3.1748
137 0.3712 0 1  3.5479 2.9088  3.2138  2.9473
138 0.4235 1 1  1.0183 2.6893 -0.9275  0.1320
139 0.1680 1 0 -0.3509 0.8996  0.0626  0.8947
140 0.4994 0 1  0.8276 1.5843  2.1522  2.6049
141 0.0339 1 1  1.7615 1.5383 -0.6813 -1.1673
142 0.0667 1 0  1.2023 1.3976  1.6170  1.6923
143 0.0296 0 1  2.8149 2.0683 -0.2184 -0.6486
144 0.6567 0 1  2.7890 2.8024  1.2293  0.8730
145 0.5420 0 0  2.0921 2.2592  1.7371  1.5944
146 0.7804 0 1  4.8683 4.6901  0.6679  0.8291
147 0.1010 1 0  1.2935 1.2589  1.8141  1.8393
148 0.4236 0 0  3.2791 3.4859  0.7280  0.7638
149 0.0687 1 0  1.0566 1.8886 -1.4406 -0.7116
150 0.1083 1 1  1.3374 1.4999  2.4118  2.6799
151 0.0439 0 1  3.7726 3.6015  0.4076  0.1834
152 0.4025 0 1  2.7417 3.4757  1.0628  1.5478
153 0.0007 1 0  0.8247 1.5968 -1.4220 -1.4915
154 0.3953 0 1  3.9050 3.9214  3.3255  3.9673
155 0.1343 0 1 -0.1189 0.3778  0.2113  0.3885
156 0.1195 1 1  1.8053 1.4465  2.1170  0.7118
157 0.1927 1 0  2.3615 1.1048  2.1622  1.8222
158 0.7294 0 1  1.0223 2.2845  1.1965  2.2042
159 0.3796 1 0  1.2417 1.3243  0.0812  0.4116
160 0.5388 0 0  2.9157 2.3076  1.5619  1.3761
161 0.0814 0 0  2.4903 2.1543  0.1344  0.2036
162 0.0885 1 0  2.4909 2.5091  0.9568  1.0686
163 0.0585 1 0  3.4916 3.0370 -1.3403 -1.4911
164 0.9124 0 1  0.5505 1.8518  1.6921  1.8823
165 0.4846 0 0  1.0846 0.6871  2.8256  3.2331
166 0.8742 0 0  1.8677 1.8160  2.6450  2.6734
167 0.1819 0 0  1.4841 1.5388  1.4626  2.1003
168 0.4710 1 1  1.4896 1.1701  1.1223  0.7023
169 0.1810 0 0  1.4061 1.3323  0.8632 -0.3149
170 0.0189 0 0  1.0515 1.8523  0.7340  1.0152
171 0.5230 1 1  3.0334 2.1662 -0.0183  0.2235
172 0.3516 0 1  2.5987 2.0607  0.9401 -0.5684
173 0.3500 1 1  0.9425 1.2389  1.7023  2.3941
174 0.2114 0 1  1.1433 1.0983  2.6346  2.2236
175 0.0371 0 1  1.6188 1.3354  1.3833  1.4316
176 0.8034 0 1  1.1340 1.1127  2.1274  1.4447
177 0.0677 0 1  3.3133 3.8027  0.9284  0.5692
178 0.0769 1 0  2.0628 2.4670 -1.2987 -0.9843
179 0.2525 1 1  0.5601 0.8025 -0.7594 -0.8971
180 0.0826 0 1  1.5244 2.2413  2.9482  2.1685
181 0.6480 0 0  3.3502 3.4348  1.7923  1.8976
182 0.5673 0 0  1.5379 1.6345  2.8262  2.0374
183 0.2950 0 0  0.8787 0.8301  2.1042  1.3853
184 0.1767 1 0  1.3022 0.6109  0.9312 -0.1471
185 0.1843 1 1  1.4922 0.3504  0.3676 -0.3762
186 0.2202 0 0  3.4238 1.9180 -1.0648 -1.8053
187 0.5974 0 0  2.6494 2.8848  2.2040  1.3123
188 0.6121 0 1  2.3238 2.0720  1.9300  1.4506
189 0.6557 0 0  1.5974 2.0416  0.5851  0.9136
190 0.0670 0 0  5.5227 4.4344  1.0427 -0.2064
191 0.3776 0 1  1.4363 2.1840 -0.4433  0.3829
192 0.1984 0 0  2.1804 1.4213  2.9525  2.8092
193 0.4815 0 1  1.0912 1.0281  1.9903  1.6941
194 0.5687 0 1  1.6234 0.7446  0.7342  0.5289
195 0.3777 0 0  3.2180 3.7111  1.2274  1.4202
196 0.6866 0 1  3.1008 3.9875  2.9393  2.7653
197 0.8525 0 0  1.1417 2.3943  1.4182  1.2662
198 0.1214 1 1  1.0096 0.9282 -0.2967 -0.0492
199 0.1789 0 0  1.1346 1.2755  1.1132  1.3887
200 0.2714 0 1  3.3918 2.7150  1.3558  1.6946
201 0.2568 1 0  1.9337 0.9154  1.2579  0.8526
202 0.2475 0 1  1.9558 0.9845  2.4169  1.3787
203 0.0492 1 1  2.6463 2.4680 -0.3154 -0.7415
204 0.7573 0 0  2.7800 3.5138  2.4767  4.5121
205 0.7575 0 1  0.9647 1.0726  2.5376  2.8826
206 0.3266 0 1  1.9184 1.1437  1.8065  0.3592
207 0.2966 1 1  1.1107 0.7520  2.2846  1.4970
208 0.0447 0 0  0.7330 1.2548  1.1086  0.5270
209 0.2862 1 0  2.1166 1.6425  0.3289  0.5110
210 0.1479 1 0  2.1404 0.9203  1.1575  0.2220
211 0.0753 1 0  1.5811 1.7756 -0.5147 -0.3966
212 0.2252 1 0  1.3948 1.9014  1.2836  2.0752
213 0.6616 0 1  4.3543 4.7844  1.8353  2.4190
214 0.3627 1 0  1.2859 1.4333  2.3152  2.2065
215 0.6435 1 0  2.9974 1.6545  1.0507 -0.1517
216 0.6688 0 1  1.1467 0.0358  2.8239  2.1225
217 0.0434 1 0  1.4487 1.3328  2.2470  1.7917
218 0.1935 0 1  3.3618 3.3243  2.6566  1.8614
219 0.2868 1 1  1.3221 1.4495  2.1914  2.7606
220 0.3454 0 0  4.3939 4.4213  1.1499  1.1764
221 0.2308 1 0  2.0721 1.7009  1.2407  0.1859
222 0.3345 0 1  1.9726 2.2932  1.5271  1.6168
223 0.0221 0 0  2.0892 2.7346  1.3582  2.0048
224 0.5268 0 1  0.9676 0.7841  3.2360  2.8224
225 0.1740 0 1  4.7946 3.8228  1.4592  0.3108
226 0.1039 0 1  0.2768 0.0985  0.6333 -0.3372
227 0.7567 0 1  2.1268 2.4387  1.1035  0.4318
228 0.2205 1 0  1.2915 1.5543  0.6178  1.0996
229 0.1257 1 0  2.3405 2.2706  0.4370  0.2242
230 0.3879 0 1  1.7357 3.6153 -1.3966  0.0365
231 0.1569 1 1  1.2503 1.2293  0.8639  0.8663
232 0.2575 0 1  1.3567 1.4492  0.5603  0.8378
233 0.3761 0 0  2.3489 1.7333  2.7136  2.1704
234 0.5389 1 0  1.5351 1.7706  3.4715  2.6825
235 0.2747 0 1  3.5922 3.1994 -0.0226 -0.0203
236 0.3694 1 1  2.0245 0.8483  1.7008  1.1048
237 0.0582 0 1  1.0578 1.8223 -0.2385 -0.6245
238 0.6098 0 1  1.8711 1.9003  1.3456  0.8420
239 0.7893 0 0  3.6798 2.9802  2.0989  1.8405
240 0.4193 1 1  1.4396 1.5934  0.0477 -0.1764
241 0.2671 0 1  1.9673 1.0589  0.6246  0.0524
242 0.1173 0 1  1.2178 2.0788  3.2466  3.9884
243 0.3561 0 0  1.8379 2.6443  1.3392  1.3215
244 0.3372 0 0  0.2266 1.8297  1.1941  1.9643
245 0.4638 1 0  0.1095 0.6583  0.7544  0.6673
246 0.6095 0 0  3.8143 2.9874  1.6629  1.2253
247 0.2068 1 0  1.9805 1.2649  1.0842  0.2873
248 0.0904 0 1  1.2469 1.8563  0.1897 -0.1124
249 0.4258 0 1  1.5115 2.0594  0.6997  1.3705
250 0.0276 0 0  1.1225 0.5781  0.5681  0.2204
251 0.6096 0 1  1.9307 2.0648  0.8003  0.9255
252 0.4454 0 1  1.1501 2.0474  1.7687  1.8329
253 0.6541 0 1  2.9692 2.8523  1.1155  2.4285
254 0.0243 1 0  1.7781 1.8393  0.7559  0.7666
255 0.8518 0 0  4.5115 5.1762  2.5780  2.9795
256 0.5050 0 0  1.9976 2.4169  2.2507  2.8205
257 0.4020 1 0  1.0992 1.4506  0.5598  0.5388
258 0.2008 0 0  1.3893 0.9310  1.2332  0.9474
259 0.6352 0 0  3.8723 4.6107  0.2314  0.2041
260 0.1982 1 0  1.3576 1.4719  2.2124  1.8528
261 0.0732 0 0  3.6069 3.1725  3.8071  3.4274
262 0.1500 1 0  2.9266 2.4173  1.1777  0.6763
263 0.3237 1 0  2.9330 2.8591  1.5708  0.5608
264 0.0614 1 1  1.4354 1.2366 -0.8049 -0.1390
265 0.6211 0 1  3.6635 3.8802  1.8357  1.2920
266 0.2964 0 0  5.6551 5.9105  1.1830  1.4734
267 0.2133 0 1  1.8525 1.3644  2.2164  2.0818
268 0.3925 0 1  1.4802 1.7706  1.1634  1.3895
269 0.1779 1 1  0.2766 1.0120  0.9657  1.0899
270 0.1264 0 0  3.4962 2.7215  1.5481  2.2565
271 0.1430 0 1  2.7770 3.9569 -0.9846 -0.7887
272 0.1908 0 1  3.0960 2.9824  1.4084  0.2463
273 0.4214 0 1  0.4411 1.2801  0.9096  1.5423
274 0.0136 1 0  1.0876 1.0478  1.6410  1.5962
275 0.1041 1 0  1.9931 1.1773 -0.0304  0.3381
276 0.0661 1 1  0.8412 0.9361  0.0932  0.4743
277 0.2955 1 1  1.7697 1.9295  1.2075  1.8567
278 0.0112 0 1  2.2855 0.6795  0.9557  0.0755
279 0.1483 0 1  2.1875 2.4815  1.1630  1.2159
280 0.0889 1 0  1.7791 1.8977 -1.5738 -0.7979
281 0.1490 0 1  0.8841 0.7891  1.4955  1.7328
282 0.1340 1 0  2.3394 2.6553 -1.2513 -0.3504
283 0.6342 1 1  0.9374 1.2536  0.3642  0.4634
284 0.5884 0 0  4.7585 3.6089  0.5873 -0.0739
285 0.1010 1 1  0.6740 1.3284  0.8646  1.1391
286 0.3570 1 0  1.1301 1.1770  1.9065  1.9244
287 0.0430 1 1  1.7396 1.9147 -2.0034 -1.9201
288 0.1173 1 0  2.1887 2.3422  1.2608  0.6592
289 0.1968 0 1  2.6236 2.2426  2.2472  2.3143
290 0.7030 0 0  1.2539 1.8992  1.0316  2.5849
291 0.2664 0 0  3.8998 4.0232 -0.3758  0.1307
292 0.3551 1 0  2.2224 2.1180  1.1940  1.0924
293 0.2191 1 1  2.2493 2.1554 -1.2010 -1.5839
294 0.1262 0 0  4.6045 4.0864  2.3869  2.1529
295 0.2273 0 0  1.0507 1.4779 -0.2997  0.9516
296 0.5847 1 1  0.8098 1.3440 -0.3526 -0.1458
297 0.5020 1 0  1.6221 2.7225  1.4878  2.1724
298 0.6413 0 1  2.4950 1.6188  0.7972  0.7550
299 0.4024 0 1  4.4483 4.0302 -0.4044 -0.0925
300 0.0109 1 1  0.8698 2.1525 -0.2077 -0.0114
301 0.4420 0 0  1.8248 1.9815 -0.7835 -0.4024
302 0.7024 0 0  2.9805 2.6315  0.6701  0.8806
303 0.3884 1 0  4.2312 3.7303  0.0552 -0.8031
304 0.1618 0 0  2.9453 2.7756 -0.0078 -0.2716
305 0.1385 1 1  1.1630 0.7793 -0.8171 -1.1861
306 0.0207 1 0  2.1679 1.7697 -1.2311 -1.7400
307 0.7766 0 0  2.2589 2.1942  1.9710  1.2288
308 0.3579 0 0  3.1048 4.2471  0.1014  0.0498
309 0.0779 0 1  3.1664 2.9615  1.0431  1.1004
310 0.3117 0 1  0.8272 1.6188  0.9852  1.4074
311 0.4637 1 1  1.7122 1.3308  1.0219  1.4058
312 0.0784 0 0  3.7428 4.4046  1.8322  2.5650
313 0.6980 0 0  3.0057 2.8540  1.3440  1.1790
314 0.1669 0 1  3.1830 2.0515  1.3270  0.5747
315 0.2846 0 0  1.3877 1.9833  0.9163  1.4989
316 0.5360 0 1  1.9290 1.4071  2.2759  2.0770
317 0.1691 0 1  2.2095 2.3709 -0.2095  0.9339
318 0.6840 0 0  2.5129 2.0146  0.6802  0.7572
319 0.7249 0 0  2.5445 2.1587  1.4207  1.7659
320 0.4028 0 1  4.1623 2.7534  0.0156 -0.9267
321 0.4724 0 0  6.3101 5.5060  2.5690  2.4598
322 0.1356 1 0  1.2109 1.5863 -0.5029  0.0130
323 0.1009 1 0  0.7695 0.8584  0.0509  0.1640
324 0.6790 0 1  2.1804 2.1975  1.7306  1.3917
325 0.6691 0 1  1.8252 0.8926  2.0408  3.3124
326 0.6488 0 0  0.9985 2.7569  0.9270  1.4967
327 0.3144 0 0  0.8436 1.2327  1.8547  1.9739
328 0.0899 1 0  1.4524 1.4837  1.5371  1.3295
329 0.6803 0 1  1.1599 0.7102  1.1055  0.8676
330 0.0292 0 1  3.2675 0.7091  2.6700  1.5174
331 0.1059 0 0  1.6687 1.3484  1.1721  0.0411
332 0.4479 1 1  1.9829 2.3512 -0.2740  0.2816
333 0.2310 1 1  1.2806 0.5920  0.1684  0.1474
334 0.1371 1 1  1.7800 1.7161 -0.3576  0.1030
335 0.5451 0 1  1.9899 1.0391  2.0192  1.5401
336 0.3364 0 1  2.1457 2.1304  0.1860  0.5511
337 0.0010 1 1  1.4222 1.2557  0.8934  1.7007
338 0.6426 1 0  1.9466 1.2979  1.3853  2.0428
339 0.0634 1 0  1.5060 1.9272  1.6784  1.7782
340 0.7202 1 1  1.7463 1.3102  0.0111  0.2340
341 0.3475 0 1  1.3567 1.4892  3.1502  3.0839
342 0.0858 1 0  2.2031 1.5516  0.0868 -0.5623
343 0.6498 0 1  3.5960 3.1295  1.6976  0.4848
344 0.3481 1 0  1.1224 2.3088  0.4184  0.4949
345 0.0490 0 1  1.4470 1.5634  1.1321  1.0498
346 0.1338 0 0  2.5368 2.9062  0.1821  0.5730
347 0.1123 0 1  1.6073 2.1110  0.4952  0.3448
348 0.7140 0 0  2.8574 1.9365  3.0515  2.2505
349 0.2431 0 0  1.2702 2.0591  0.6028  1.9481
350 0.6410 0 1  0.8090 1.0933  2.1307  1.9399
351 0.4053 0 0  1.2931 2.8775  1.4070  1.1454
352 0.0658 0 1  2.5153 2.3877  1.0039  0.1464
353 0.2289 0 1  1.6389 0.7223  1.9101  1.0988
354 0.3600 0 0  3.6429 2.2552  1.2532  0.4857
355 0.1145 1 0  1.0023 1.3588  1.8133  1.6098
356 0.4319 0 1  0.3629 1.8198  1.0109  2.4453
357 0.0219 0 0  1.2321 0.9487  1.7198  2.1005
358 0.0592 1 0  1.8744 1.1787  1.4655  0.9696
359 0.0587 1 0  3.0055 2.1848 -0.1050 -0.8616
360 0.5756 1 1  1.3128 1.2112  1.5693  1.9444
361 0.2664 1 0  0.8096 0.9258  0.4973  0.7705
362 0.3900 0 1  1.8578 1.5990  3.5562  2.7266
363 0.1896 0 0  1.3695 1.2718  1.8703  2.3518
364 0.1680 1 1  2.4144 2.4836  0.4926  0.2925
365 0.3943 0 0  1.1030 1.3289  2.5962  2.9776
366 0.0855 1 1  1.5100 1.6776  1.7514  2.3233
367 0.1567 0 1  2.4184 1.1422  1.5952  1.2326
368 0.3695 1 0  0.4040 1.1572  0.6048  1.4814
369 0.0363 1 1  0.8065 1.8195 -1.2199 -0.3258
370 0.0373 0 0  2.7277 2.3874  2.1483  2.0785
371 0.0815 1 1  0.4987 1.5033  0.3822  0.6559
372 0.0562 1 1  1.1170 1.6844 -0.8904 -0.7581
373 0.3687 0 1  1.1429 0.7716  1.0101  0.7242
374 0.2951 1 1  1.1746 0.8156 -0.5742 -0.0090
375 0.3862 0 1  1.7332 0.5828  1.0812  0.6042
376 0.3707 0 0  1.5442 1.4831  1.9799  2.5960
377 0.2152 1 0  1.6813 1.1618 -0.0173 -0.0346
378 0.2732 1 1  1.6737 1.2983  1.1242  0.8799
379 0.7773 0 1  1.8687 0.8299  0.7435  0.1656
380 0.1210 1 1 -0.1655 1.0073  0.1008  0.2177
381 0.1523 1 0  1.6116 1.3085  1.4220  1.0414
382 0.7682 0 1  3.5125 3.0898  1.0133  0.0829
383 0.5394 0 1  2.6897 2.2045  2.6170  2.0828
384 0.1912 0 1  1.6919 1.5358  2.1102  2.8988
385 0.4088 1 0  1.4261 1.5276  1.0552  1.0280
386 0.0444 0 1  2.4340 3.1781  1.4020  1.6474
387 0.1430 0 1  2.0393 2.2762 -0.1931 -0.6515
388 0.5738 0 0  2.7299 2.9035  3.8228  3.5192
389 0.0912 0 1  4.3162 4.2974 -0.0161 -0.2322
390 0.7640 0 0  3.6012 3.9364  1.5052  1.5607
391 0.0707 1 0  2.0161 2.7350  0.1391  0.9004
392 0.1210 0 0  2.0179 1.7820  1.2641  0.7996
393 0.6835 0 1  1.1651 0.8923  1.0217  1.4893
394 0.0201 1 0  1.2287 0.7503  0.8487  0.7004
395 0.2596 0 0  1.7156 0.9095  2.1730  1.9162
396 0.0501 1 1  1.2497 1.3959 -1.2051 -1.2898
397 0.7394 0 1  1.2628 1.1719  1.4906  1.5644
398 0.2065 1 0  1.9758 1.2832  0.9774  0.9819
399 0.8048 0 1  7.8818 7.6923  0.8055  0.8167
400 0.6531 0 0  1.8183 3.0397  0.2121  1.0414
